Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,0.99467550577121244,-5.2297703585851423,0.064539455094895115,0.9405299258400398,-0.3977320875236785,0.02711200833785915
Sheringham Point,0.98551805480811916,-11.879866907130122,0.10031088254748988,0.91948337089778698,-0.32423191378910587,0.044223200667181953
Pedder Bay,0.75948969283742407,-17.209771421651794,0.12132715896844197,0.92837658593361927,1.9361512269978221,0.04932995376733125
Esquimalt,0.7199330672837817,-10.594948157210126,0.11777495553760733,0.9262478064138201,2.9012893480699518,0.056838729825695399
Victoria,0.71855551135068996,-4.5804055601088862,0.10797739754145631,0.96337003845322611,2.5351302589623401,0.035620419498283096
Clover Point,0.67800209046962889,-3.8619143919083854,0.13167791356907455,0.95358126024803747,2.2611174621904411,0.038731370496322373
Finnerty Cove,0.78067612747756088,3.9788475271514585,0.10180049263870715,0.94999818129411329,1.3346424562868719,0.038879665756020344
Fulford Harbour,0.78560120926989041,5.8739812789720993,0.13551555557520711,0.93550098759405353,2.6574489402664199,0.059158342688553703
Tumbo Channel,0.98840570913850245,6.6577018719672196,0.084244269973583433,0.97593705433712885,4.132456183957288,0.060979758336600257
Patos Island,0.97649364493060931,5.912036352125142,0.071124539181668722,0.97280908118256249,1.2535301890653727,0.027423007258378016
Whaler Bay,0.94121823219781342,4.3281793479887725,0.078341627787153312,0.95192445494208966,2.7701930613737318,0.057045728657730659
Tsawwassen,0.9403709967200109,6.3210911399976446,0.099292371722360981,0.95201288217745739,3.2557251445166457,0.06114909250168804
Sandheads,0.95512790730508867,4.0432190162333441,0.071489965408552791,0.97208334308766642,2.857789685454577,0.047327049008702639
Point Grey,0.9161342597149098,2.0172067343707809,0.08541104846741461,0.9026723570954005,2.8848947891245871,0.098252575926742997
Point Atkinson,0.94300940708008796,4.8394131934272089,0.091668940831168694,0.95413314053908349,3.1786538803217468,0.061193817783626446
Gibsons Landing,0.91497587782572098,6.2352723331253728,0.12724581686831876,0.94222553777442208,4.4663811546552097,0.083003187285192598
Halfmoon Bay,0.93965549077855526,5.588295032144174,0.10809373715536606,0.9490725207740508,3.5598804826223045,0.06960445326744194
Irvines Landing,0.93025857497393849,5.1872626586256629,0.11038915055239333,0.9500518444046806,3.0984699507759501,0.063898865835482696
Powell River,0.93026531418188219,3.3984731833511574,0.090824705500121811,0.93663657926838595,3.2305169959460613,0.075589530231661303
Lund,0.93987964707669513,3.0583651950381423,0.081065867073298645,0.9600961276593708,2.0531790397847658,0.047251613667778275
Twin Islets,0.94251813241379045,3.2567470508693432,0.080713422262291404,0.94386506911622847,2.9146705860668476,0.067607805826275652
Campbell River,0.86075257339031952,-2.6398442457804308,0.12016922272676282,0.95892212134744215,0.21566243355874803,0.03489150525927745
Maude Island E,1.0543386798969636,-27.034126574279526,0.26858615745312431,0.95052296974314421,-5.1645682987751798,0.081769304058616224
Nymphe Cove,1.0664121845705183,-23.88406358701701,0.26598416932227348,0.94230382847550354,-5.1071324208464262,0.080060585296595196
Seymour Narrows,0.62025951101339349,10.964011722637622,0.38641087234735227,1.1398960193667247,6.7977465661877545,0.13056164102349352
Brown Bay,1.3140778577532668,-15.696856069995647,0.41463616367502915,1.0441569448081154,-11.098300978379939,0.13749490839192702
Chatham Point,1.4954848898196229,-13.091169010490205,0.51339176987215696,1.0632329437018313,-15.730482319426557,0.18914009929117326
Kelsey Bay,1.4027220051184865,-4.1198726088514377,0.48160032859875773,1.1476260403294332,-17.028318653508137,0.20188156685547837
Yorke Island,1.3929528221733838,-0.62271751369587491,0.46039285282134268,1.1828806435679813,-15.664174197216056,0.19434740992159391
Mean Difference,0.1227879175745966,7.6588079325768872,0.17144830383011625,0.045871628504766865,4.510705886401742,0.076564386093886341
RMS Difference,0.1836186262113769,9.8909055406036099,0.21947726832437212,0.050510357664045408,6.3426816049317809,0.090236749292908286
