Mean 	2.891371
Latitude 	50.042000
Constituent 	 freq 	 amp (m) 	 amp error 	 phase (deg PST) 	 phase error 
SA   	 0.000114	 0.032267	 0.036312	 61.623682	 50.261807
SSA  	 0.000228	 0.048562	 0.031574	 345.365033	 41.531743
MSM  	 0.001310	 0.042060	 0.032249	 337.055055	 49.921529
MM   	 0.001512	 0.005977	 0.024706	 231.150064	 214.609305
MSF  	 0.002822	 0.042803	 0.030436	 253.613002	 46.324582
MF   	 0.003050	 0.029551	 0.033933	 183.915225	 72.462361
ALP1 	 0.034397	 0.002197	 0.003925	 237.083676	 110.777786
2Q1  	 0.035706	 0.011915	 0.004632	 174.049935	 22.701846
SIG1 	 0.035909	 0.009761	 0.004947	 193.962712	 25.152662
Q1   	 0.037219	 0.080636	 0.004992	 142.098493	 3.554332
RHO1 	 0.037421	 0.011851	 0.005965	 129.645417	 25.991714
O1   	 0.038731	 0.476051	 0.005082	 151.343092	 0.584323
TAU1 	 0.038959	 0.022889	 0.004371	 232.378387	 11.327001
BET1 	 0.040040	 0.009910	 0.005223	 118.528198	 26.256526
NO1  	 0.040269	 0.035073	 0.003617	 178.925317	 6.898459
CHI1 	 0.040471	 0.008408	 0.004637	 137.171831	 33.232369
PI1  	 0.041439	 0.013639	 0.005390	 148.776350	 21.122488
P1   	 0.041553	 0.254794	 0.004696	 161.893082	 1.154145
S1   	 0.041667	 0.040166	 0.007502	 116.851083	 10.520454
K1   	 0.041781	 0.830642	 0.004996	 164.281373	 0.325975
PSI1 	 0.041895	 0.017659	 0.004803	 170.486015	 16.516117
PHI1 	 0.042009	 0.017556	 0.004603	 169.380678	 14.646397
THE1 	 0.043091	 0.010481	 0.004985	 152.038597	 24.786286
J1   	 0.043293	 0.044078	 0.005604	 199.733224	 6.076860
SO1  	 0.044603	 0.028104	 0.004805	 277.400533	 10.515350
OO1  	 0.044831	 0.028916	 0.004855	 200.239895	 8.387924
UPS1 	 0.046343	 0.002818	 0.004204	 209.474914	 108.199668
OQ2  	 0.075975	 0.002373	 0.002178	 206.058777	 44.630983
EPS2 	 0.076177	 0.003408	 0.002092	 3.351790	 33.205866
2N2  	 0.077487	 0.014448	 0.001969	 90.328540	 8.802944
MU2  	 0.077689	 0.025144	 0.001971	 56.609105	 5.247445
N2   	 0.078999	 0.169388	 0.002180	 118.968407	 0.805614
NU2  	 0.079202	 0.032047	 0.001933	 130.290977	 3.190996
H1   	 0.080397	 0.001967	 0.001878	 302.450943	 64.058358
M2   	 0.080511	 0.767299	 0.001871	 141.971152	 0.165312
H2   	 0.080625	 0.005753	 0.001963	 169.729483	 19.739918
MKS2 	 0.080740	 0.007246	 0.002050	 267.927654	 15.134182
LDA2 	 0.081821	 0.009181	 0.002297	 178.111124	 12.202952
L2   	 0.082024	 0.022120	 0.002455	 182.772744	 6.188225
T2   	 0.083219	 0.013443	 0.002112	 153.399984	 8.591367
S2   	 0.083333	 0.200172	 0.001970	 156.543408	 0.722361
R2   	 0.083447	 0.001638	 0.001662	 124.541380	 63.566152
K2   	 0.083561	 0.048682	 0.002192	 158.806714	 2.637260
MSN2 	 0.084845	 0.002607	 0.001854	 60.791344	 41.418248
ETA2 	 0.085074	 0.003074	 0.002057	 173.317370	 39.506679
MO3  	 0.119242	 0.014523	 0.002528	 187.245478	 8.299996
M3   	 0.120767	 0.004285	 0.002466	 73.639079	 27.095628
SO3  	 0.122064	 0.013584	 0.002659	 200.501661	 9.125824
MK3  	 0.122292	 0.028196	 0.002318	 229.175352	 4.554265
SK3  	 0.125114	 0.007181	 0.002066	 199.790509	 19.902089
MN4  	 0.159511	 0.025494	 0.003520	 242.091704	 9.072658
M4   	 0.161023	 0.072720	 0.003413	 272.114027	 2.861698
SN4  	 0.162333	 0.006458	 0.003296	 186.308136	 33.203298
MS4  	 0.163845	 0.034343	 0.003566	 290.697539	 5.503948
MK4  	 0.164073	 0.014900	 0.003909	 295.087226	 14.705293
S4   	 0.166667	 0.003410	 0.003190	 268.223654	 53.986467
SK4  	 0.166895	 0.003354	 0.003357	 276.640196	 59.818362
2MK5 	 0.202804	 0.010320	 0.003345	 242.686142	 19.749493
2SK5 	 0.208447	 0.001215	 0.002486	 164.884401	 160.203371
2MN6 	 0.240022	 0.010088	 0.001941	 245.386170	 12.380905
M6   	 0.241534	 0.018125	 0.002400	 267.572071	 6.337266
2MS6 	 0.244356	 0.017125	 0.002085	 289.378798	 6.779922
2MK6 	 0.244584	 0.004929	 0.002283	 338.196748	 23.010222
2SM6 	 0.247178	 0.004575	 0.001881	 305.015635	 25.656960
MSK6 	 0.247406	 0.002620	 0.002135	 322.471239	 49.120905
3MK7 	 0.283315	 0.011009	 0.002452	 246.494410	 11.593939
M8   	 0.322046	 0.009283	 0.001733	 266.917572	 10.913050
